"field_name","note","field_keys","field_values","table"
"ANC2P","Recoded Detailed Ancestry - second entry","534","Kenyan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","541","Liberian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","553","Nigerian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","564","Senegalese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","566","Sierra Leonean","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","568","Somali","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","570","South African","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","576","Sudanese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","587","Other Subsaharan African","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","588","Ugandan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","598","Western African","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","599","African","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","600","Afghan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","603","Bangladeshi","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","607","Bhutanese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","609","Nepali","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","615","Asian Indian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","618","Bengali","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","620","East Indian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","650","Punjabi","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","680","Pakistani","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","690","Sri Lankan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","700","Burmese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","703","Cambodian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","706","Chinese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","707","Cantonese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","712","Mongolian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","714","Tibetan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","720","Filipino","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","730","Indonesian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","740","Japanese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","748","Okinawan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","750","Korean","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","765","Laotian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","768","Hmong","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","770","Malaysian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","776","Thai","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","782","Taiwanese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","785","Vietnamese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","793","Eurasian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","795","Asian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","799","Other Asian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","800","Australian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","803","New Zealander","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","808","Polynesian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","811","Hawaiian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","814","Samoan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","815","Tongan","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","820","Micronesian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","821","Guamanian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","822","Chamorro","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","825","Marshallese","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","841","Fijian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","850","Pacific Islander","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","899","Other Pacific","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","900","Afro American","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","901","Afro","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","902","African American","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","903","Black","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","904","Negro","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","907","Creole","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","913","Central American Indian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","914","South American Indian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","917","Native American","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","918","Indian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","919","Cherokee","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","920","American Indian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","921","Aleut","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","922","Eskimo","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","924","White","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","925","Anglo","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","927","Appalachian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","929","Pennsylvania German","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","931","Canadian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","935","French Canadian","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","937","Cajun","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","939","American","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","940","United States","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","983","Texas","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","994","North American","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","995","Mixture","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","996","Uncodable entries","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","997","Other groups","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","998","Other responses","pus"
"ANC2P","Recoded Detailed Ancestry - second entry","999","Not reported","pus"
"DECADE","Decade of entry","b","N/A (Born in the US)","pus"
"DECADE","Decade of entry","1","Before 1950","pus"
"DECADE","Decade of entry","2","1950 - 1959","pus"
"DECADE","Decade of entry","3","1960 - 1969","pus"
"DECADE","Decade of entry","4","1970 - 1979","pus"
"DECADE","Decade of entry","5","1980 - 1989","pus"
"DECADE","Decade of entry","6","1990 - 1999","pus"
"DECADE","Decade of entry","7","2000 or later","pus"
"DIS","Disability recode","1","With a disability","pus"
"DIS","Disability recode","2","Without a disability","pus"
"DRIVESP","Number of vehicles calculated from JWRI","b","N/A (Nonworker or worker who does not drive to work)","pus"
"DRIVESP","Number of vehicles calculated from JWRI","1","1.000 vehicles (Drove alone)","pus"
"DRIVESP","Number of vehicles calculated from JWRI","2","0.500 vehicles (In a 2-person carpool)","pus"
"DRIVESP","Number of vehicles calculated from JWRI","3","0.333 vehicles (In a 3-person carpool)","pus"
"DRIVESP","Number of vehicles calculated from JWRI","4","0.250 vehicles (In a 4-person carpool)","pus"
"DRIVESP","Number of vehicles calculated from JWRI","5","0.200 vehicles (In a 5- or 6-person carpool)","pus"
"DRIVESP","Number of vehicles calculated from JWRI","6","0.143 vehicles (In a 7-or-more person carpool)","pus"
"ESP","Employment status of parents","b","N/A (not own child of householder, and not child in subfamily) Living with two parents:","pus"
"ESP","Employment status of parents","1","Both parents in labor force","pus"
"ESP","Employment status of parents","2","Father only in labor force","pus"
"ESP","Employment status of parents","3","Mother only in labor force","pus"
"ESP","Employment status of parents","4","Neither parent in labor force Living with one parent: Living with father:","pus"
"ESP","Employment status of parents","5","Father in the labor force","pus"
"ESP","Employment status of parents","6","Father not in labor force Living with mother:","pus"
"ESP","Employment status of parents","7","Mother in the labor force","pus"
"ESP","Employment status of parents","8","Mother not in labor force","pus"
"ESR","Employment status recode","b","N/A (less than 16 years old)","pus"
"ESR","Employment status recode","1","Civilian employed, at work","pus"
"ESR","Employment status recode","2","Civilian employed, with a job but not at work","pus"
"ESR","Employment status recode","3","Unemployed","pus"
"ESR","Employment status recode","4","Armed forces, at work","pus"
"ESR","Employment status recode","5","Armed forces, with a job but not at work","pus"
"ESR","Employment status recode","6","Not in labor force","pus"
"FOD1P","Recoded field of degree - first entry","bbbb","N/A (less than bachelor's degree)","pus"
"FOD1P","Recoded field of degree - first entry","1100","GENERAL AGRICULTURE","pus"
"FOD1P","Recoded field of degree - first entry","1101","AGRICULTURE PRODUCTION AND MANAGEMENT","pus"
"FOD1P","Recoded field of degree - first entry","1102","AGRICULTURAL ECONOMICS","pus"
"FOD1P","Recoded field of degree - first entry","1103","ANIMAL SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","1104","FOOD SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","1105","PLANT SCIENCE AND AGRONOMY","pus"
"FOD1P","Recoded field of degree - first entry","1106","SOIL SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","1199","MISCELLANEOUS AGRICULTURE","pus"
"FOD1P","Recoded field of degree - first entry","1301","ENVIRONMENTAL SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","1302","FORESTRY","pus"
"FOD1P","Recoded field of degree - first entry","1303","NATURAL RESOURCES MANAGEMENT","pus"
"FOD1P","Recoded field of degree - first entry","1401","ARCHITECTURE","pus"
"FOD1P","Recoded field of degree - first entry","1501","AREA ETHNIC AND CIVILIZATION STUDIES","pus"
"FOD1P","Recoded field of degree - first entry","1901","COMMUNICATIONS","pus"
"FOD1P","Recoded field of degree - first entry","1902","JOURNALISM","pus"
"FOD1P","Recoded field of degree - first entry","1903","MASS MEDIA","pus"
"FOD1P","Recoded field of degree - first entry","1904","ADVERTISING AND PUBLIC RELATIONS","pus"
"FOD1P","Recoded field of degree - first entry","2001","COMMUNICATION TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","2100","COMPUTER AND INFORMATION SYSTEMS","pus"
"FOD1P","Recoded field of degree - first entry","2101","COMPUTER PROGRAMMING AND DATA PROCESSING","pus"
"FOD1P","Recoded field of degree - first entry","2102","COMPUTER SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","2105","INFORMATION SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","2106","COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","pus"
"FOD1P","Recoded field of degree - first entry","2107","COMPUTER NETWORKING AND TELECOMMUNICATIONS","pus"
"FOD1P","Recoded field of degree - first entry","2201","COSMETOLOGY SERVICES AND CULINARY ARTS","pus"
"FOD1P","Recoded field of degree - first entry","2300","GENERAL EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2301","EDUCATIONAL ADMINISTRATION AND SUPERVISION","pus"
"FOD1P","Recoded field of degree - first entry","2303","SCHOOL STUDENT COUNSELING","pus"
"FOD1P","Recoded field of degree - first entry","2304","ELEMENTARY EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2305","MATHEMATICS TEACHER EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2306","PHYSICAL AND HEALTH EDUCATION TEACHING","pus"
"FOD1P","Recoded field of degree - first entry","2307","EARLY CHILDHOOD EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2308","SCIENCE AND COMPUTER TEACHER EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2309","SECONDARY TEACHER EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2310","SPECIAL NEEDS EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2311","SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2312","TEACHER EDUCATION: MULTIPLE LEVELS","pus"
"FOD1P","Recoded field of degree - first entry","2313","LANGUAGE AND DRAMA EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2314","ART AND MUSIC EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2399","MISCELLANEOUS EDUCATION","pus"
"FOD1P","Recoded field of degree - first entry","2400","GENERAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2401","AEROSPACE ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2402","BIOLOGICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2403","ARCHITECTURAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2404","BIOMEDICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2405","CHEMICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2406","CIVIL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2407","COMPUTER ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2408","ELECTRICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2409","ENGINEERING MECHANICS PHYSICS AND SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","2410","ENVIRONMENTAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2411","GEOLOGICAL AND GEOPHYSICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2412","INDUSTRIAL AND MANUFACTURING ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2413","MATERIALS ENGINEERING AND MATERIALS SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","2414","MECHANICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2415","METALLURGICAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2416","MINING AND MINERAL ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2417","NAVAL ARCHITECTURE AND MARINE ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2418","NUCLEAR ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2419","PETROLEUM ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2499","MISCELLANEOUS ENGINEERING","pus"
"FOD1P","Recoded field of degree - first entry","2500","ENGINEERING TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","2501","ENGINEERING AND INDUSTRIAL MANAGEMENT","pus"
"FOD1P","Recoded field of degree - first entry","2502","ELECTRICAL ENGINEERING TECHNOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","2503","INDUSTRIAL PRODUCTION TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","2504","MECHANICAL ENGINEERING RELATED TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","2599","MISCELLANEOUS ENGINEERING TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","2601","LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","pus"
"FOD1P","Recoded field of degree - first entry","2602","FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","pus"
"FOD1P","Recoded field of degree - first entry","2603","OTHER FOREIGN LANGUAGES","pus"
"FOD1P","Recoded field of degree - first entry","2901","FAMILY AND CONSUMER SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","3201","COURT REPORTING","pus"
"FOD1P","Recoded field of degree - first entry","3202","PRE-LAW AND LEGAL STUDIES","pus"
"FOD1P","Recoded field of degree - first entry","3301","ENGLISH LANGUAGE AND LITERATURE","pus"
"FOD1P","Recoded field of degree - first entry","3302","COMPOSITION AND RHETORIC","pus"
"FOD1P","Recoded field of degree - first entry","3401","LIBERAL ARTS","pus"
"FOD1P","Recoded field of degree - first entry","3402","HUMANITIES","pus"
"FOD1P","Recoded field of degree - first entry","3501","LIBRARY SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","3600","BIOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3601","BIOCHEMICAL SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","3602","BOTANY","pus"
"FOD1P","Recoded field of degree - first entry","3603","MOLECULAR BIOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3604","ECOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3605","GENETICS","pus"
"FOD1P","Recoded field of degree - first entry","3606","MICROBIOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3607","PHARMACOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3608","PHYSIOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3609","ZOOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3611","NEUROSCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","3699","MISCELLANEOUS BIOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","3700","MATHEMATICS","pus"
"FOD1P","Recoded field of degree - first entry","3701","APPLIED MATHEMATICS","pus"
"FOD1P","Recoded field of degree - first entry","3702","STATISTICS AND DECISION SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","3801","MILITARY TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","4000","MULTI/INTERDISCIPLINARY STUDIES","pus"
"FOD1P","Recoded field of degree - first entry","4001","INTERCULTURAL AND INTERNATIONAL STUDIES","pus"
"FOD1P","Recoded field of degree - first entry","4002","NUTRITION SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","4005","MATHEMATICS AND COMPUTER SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","4006","COGNITIVE SCIENCE AND BIOPSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","4007","INTERDISCIPLINARY SOCIAL SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","4101","PHYSICAL FITNESS PARKS RECREATION AND LEISURE","pus"
"FOD1P","Recoded field of degree - first entry","4801","PHILOSOPHY AND RELIGIOUS STUDIES","pus"
"FOD1P","Recoded field of degree - first entry","4901","THEOLOGY AND RELIGIOUS VOCATIONS","pus"
"FOD1P","Recoded field of degree - first entry","5000","PHYSICAL SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","5001","ASTRONOMY AND ASTROPHYSICS","pus"
"FOD1P","Recoded field of degree - first entry","5002","ATMOSPHERIC SCIENCES AND METEOROLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5003","CHEMISTRY","pus"
"FOD1P","Recoded field of degree - first entry","5004","GEOLOGY AND EARTH SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","5005","GEOSCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","5006","OCEANOGRAPHY","pus"
"FOD1P","Recoded field of degree - first entry","5007","PHYSICS","pus"
"FOD1P","Recoded field of degree - first entry","5008","MATERIALS SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","5098","MULTI-DISCIPLINARY OR GENERAL SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","5102","NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","5200","PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5201","EDUCATIONAL PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5202","CLINICAL PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5203","COUNSELING PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5205","INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5206","SOCIAL PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5299","MISCELLANEOUS PSYCHOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5301","CRIMINAL JUSTICE AND FIRE PROTECTION","pus"
"FOD1P","Recoded field of degree - first entry","5401","PUBLIC ADMINISTRATION","pus"
"FOD1P","Recoded field of degree - first entry","5402","PUBLIC POLICY","pus"
"FOD1P","Recoded field of degree - first entry","5403","HUMAN SERVICES AND COMMUNITY ORGANIZATION","pus"
"FOD1P","Recoded field of degree - first entry","5404","SOCIAL WORK","pus"
"FOD1P","Recoded field of degree - first entry","5500","GENERAL SOCIAL SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","5501","ECONOMICS","pus"
"FOD1P","Recoded field of degree - first entry","5502","ANTHROPOLOGY AND ARCHEOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5503","CRIMINOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5504","GEOGRAPHY","pus"
"FOD1P","Recoded field of degree - first entry","5505","INTERNATIONAL RELATIONS","pus"
"FOD1P","Recoded field of degree - first entry","5506","POLITICAL SCIENCE AND GOVERNMENT","pus"
"FOD1P","Recoded field of degree - first entry","5507","SOCIOLOGY","pus"
"FOD1P","Recoded field of degree - first entry","5599","MISCELLANEOUS SOCIAL SCIENCES","pus"
"FOD1P","Recoded field of degree - first entry","5601","CONSTRUCTION SERVICES","pus"
"FOD1P","Recoded field of degree - first entry","5701","ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","pus"
"FOD1P","Recoded field of degree - first entry","5901","TRANSPORTATION SCIENCES AND TECHNOLOGIES","pus"
"FOD1P","Recoded field of degree - first entry","6000","FINE ARTS","pus"
"FOD1P","Recoded field of degree - first entry","6001","DRAMA AND THEATER ARTS","pus"
"FOD1P","Recoded field of degree - first entry","6002","MUSIC","pus"
"FOD1P","Recoded field of degree - first entry","6003","VISUAL AND PERFORMING ARTS","pus"
"FOD1P","Recoded field of degree - first entry","6004","COMMERCIAL ART AND GRAPHIC DESIGN","pus"
"FOD1P","Recoded field of degree - first entry","6005","FILM VIDEO AND PHOTOGRAPHIC ARTS","pus"
"FOD1P","Recoded field of degree - first entry","6006","ART HISTORY AND CRITICISM","pus"
"FOD1P","Recoded field of degree - first entry","6007","STUDIO ARTS","pus"
"FOD1P","Recoded field of degree - first entry","6099","MISCELLANEOUS FINE ARTS","pus"
"FOD1P","Recoded field of degree - first entry","6100","GENERAL MEDICAL AND HEALTH SERVICES","pus"
"FOD1P","Recoded field of degree - first entry","6102","COMMUNICATION DISORDERS SCIENCES AND SERVICES","pus"
"FOD1P","Recoded field of degree - first entry","6103","HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","pus"
"FOD1P","Recoded field of degree - first entry","6104","MEDICAL ASSISTING SERVICES","pus"
"FOD1P","Recoded field of degree - first entry","6105","MEDICAL TECHNOLOGIES TECHNICIANS","pus"
"FOD1P","Recoded field of degree - first entry","6106","HEALTH AND MEDICAL PREPARATORY PROGRAMS","pus"
"FOD1P","Recoded field of degree - first entry","6107","NURSING","pus"
"FOD1P","Recoded field of degree - first entry","6108","PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","pus"
"FOD1P","Recoded field of degree - first entry","6109","TREATMENT THERAPY PROFESSIONS","pus"
"FOD1P","Recoded field of degree - first entry","6110","COMMUNITY AND PUBLIC HEALTH","pus"
"FOD1P","Recoded field of degree - first entry","6199","MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","pus"
"FOD1P","Recoded field of degree - first entry","6200","GENERAL BUSINESS","pus"
"FOD1P","Recoded field of degree - first entry","6201","ACCOUNTING","pus"
"FOD1P","Recoded field of degree - first entry","6202","ACTUARIAL SCIENCE","pus"
"FOD1P","Recoded field of degree - first entry","6203","BUSINESS MANAGEMENT AND ADMINISTRATION","pus"
"FOD1P","Recoded field of degree - first entry","6204","OPERATIONS LOGISTICS AND E-COMMERCE","pus"
"FOD1P","Recoded field of degree - first entry","6205","BUSINESS ECONOMICS","pus"
"FOD1P","Recoded field of degree - first entry","6206","MARKETING AND MARKETING RESEARCH","pus"
"FOD1P","Recoded field of degree - first entry","6207","FINANCE","pus"
"FOD1P","Recoded field of degree - first entry","6209","HUMAN RESOURCES AND PERSONNEL MANAGEMENT","pus"
"FOD1P","Recoded field of degree - first entry","6210","INTERNATIONAL BUSINESS","pus"
"FOD1P","Recoded field of degree - first entry","6211","HOSPITALITY MANAGEMENT","pus"
"FOD1P","Recoded field of degree - first entry","6212","MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","pus"
"FOD1P","Recoded field of degree - first entry","6299","MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","pus"
"FOD1P","Recoded field of degree - first entry","6402","HISTORY","pus"
"FOD1P","Recoded field of degree - first entry","6403","UNITED STATES HISTORY","pus"
"FOD2P","Recoded field of degree - second entry","bbbb","N/A (less than bachelor's degree)","pus"
"FOD2P","Recoded field of degree - second entry","1100","GENERAL AGRICULTURE","pus"
"FOD2P","Recoded field of degree - second entry","1101","AGRICULTURE PRODUCTION AND MANAGEMENT","pus"
"FOD2P","Recoded field of degree - second entry","1102","AGRICULTURAL ECONOMICS","pus"
"FOD2P","Recoded field of degree - second entry","1103","ANIMAL SCIENCES","pus"
"FOD2P","Recoded field of degree - second entry","1104","FOOD SCIENCE","pus"
"FOD2P","Recoded field of degree - second entry","1105","PLANT SCIENCE AND AGRONOMY","pus"
"FOD2P","Recoded field of degree - second entry","1106","SOIL SCIENCE","pus"
"FOD2P","Recoded field of degree - second entry","1199","MISCELLANEOUS AGRICULTURE","pus"
"FOD2P","Recoded field of degree - second entry","1301","ENVIRONMENTAL SCIENCE","pus"
"FOD2P","Recoded field of degree - second entry","1302","FORESTRY","pus"
"FOD2P","Recoded field of degree - second entry","1303","NATURAL RESOURCES MANAGEMENT","pus"
"FOD2P","Recoded field of degree - second entry","1401","ARCHITECTURE","pus"
"FOD2P","Recoded field of degree - second entry","1501","AREA ETHNIC AND CIVILIZATION STUDIES","pus"
"FOD2P","Recoded field of degree - second entry","1901","COMMUNICATIONS","pus"
"FOD2P","Recoded field of degree - second entry","1902","JOURNALISM","pus"
"FOD2P","Recoded field of degree - second entry","1903","MASS MEDIA","pus"
"FOD2P","Recoded field of degree - second entry","1904","ADVERTISING AND PUBLIC RELATIONS","pus"
"FOD2P","Recoded field of degree - second entry","2001","COMMUNICATION TECHNOLOGIES","pus"
"FOD2P","Recoded field of degree - second entry","2100","COMPUTER AND INFORMATION SYSTEMS","pus"
"FOD2P","Recoded field of degree - second entry","2101","COMPUTER PROGRAMMING AND DATA PROCESSING","pus"
"FOD2P","Recoded field of degree - second entry","2102","COMPUTER SCIENCE","pus"
"FOD2P","Recoded field of degree - second entry","2105","INFORMATION SCIENCES","pus"
"FOD2P","Recoded field of degree - second entry","2106","COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","pus"
"FOD2P","Recoded field of degree - second entry","2107","COMPUTER NETWORKING AND TELECOMMUNICATIONS","pus"
"FOD2P","Recoded field of degree - second entry","2201","COSMETOLOGY SERVICES AND CULINARY ARTS","pus"
"FOD2P","Recoded field of degree - second entry","2300","GENERAL EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2301","EDUCATIONAL ADMINISTRATION AND SUPERVISION","pus"
"FOD2P","Recoded field of degree - second entry","2303","SCHOOL STUDENT COUNSELING","pus"
"FOD2P","Recoded field of degree - second entry","2304","ELEMENTARY EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2305","MATHEMATICS TEACHER EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2306","PHYSICAL AND HEALTH EDUCATION TEACHING","pus"
"FOD2P","Recoded field of degree - second entry","2307","EARLY CHILDHOOD EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2308","SCIENCE AND COMPUTER TEACHER EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2309","SECONDARY TEACHER EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2310","SPECIAL NEEDS EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2311","SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","pus"
"FOD2P","Recoded field of degree - second entry","2312","TEACHER EDUCATION: MULTIPLE LEVELS","pus"
"FOD2P","Recoded field of degree - second entry","2313","LANGUAGE AND DRAMA EDUCATION","pus"
